Time (ms),Voltage (V)
9613.0,-72.36
9626.0,-83.84
9639.0,-52.16
9653.0,-26.4
9666.0,-76.72
9679.0,-145.42
9693.0,-183.72
9706.0,-216.77
9719.0,-240.91
9733.0,-253.93
9746.0,-251.77
9759.0,-203.05
9773.0,-120.98
9786.0,-60.75
9799.0,-64.79
9812.0,-122.54
9826.0,-155.85
9839.0,-128.97
9852.0,-124.72
9866.0,-192.56
9879.0,-232.52
9892.0,-178.7
9906.0,-129.15
9919.0,-128.95
9932.0,-98.17
9946.0,-42.84
9959.0,-40.95
9972.0,-93.82
9986.0,-135.6
9999.0,-111.23
10012.0,-46.91
10025.0,-11.9
10039.0,-20.5
10052.0,-68.18
10065.0,-136.39
10079.0,-156.0
10092.0,-127.54
10105.0,-120.55
10119.0,-117.6
10132.0,-70.81
10145.0,-21.2
10159.0,-31.8
10173.0,-72.98
10186.0,-76.37
10200.0,-66.28
10213.0,-78.5
10226.0,-41.18
10240.0,64.54
10253.0,108.15
10266.0,43.86
10279.0,-6.25
10293.0,18.81
10306.0,25.04
10319.0,-63.06
10333.0,-119.2
10346.0,-0.15
10359.0,146.06
10373.0,126.81
10386.0,34.68
10399.0,24.6
10413.0,75.78
10426.0,97.11
10439.0,64.45
10452.0,23.25
10466.0,29.23
10479.0,87.46
10492.0,128.09
10506.0,112.55
10519.0,109.08
10532.0,127.72
10546.0,94.44
10559.0,49.35
10572.0,56.4
10586.0,46.74
10599.0,-3.87
10612.0,-18.1
10626.0,2.54
10639.0,22.63
10652.0,62.41
10665.0,102.27
10679.0,102.38
10692.0,72.04
10705.0,36.65
10719.0,12.25
10732.0,-3.98
10745.0,-0.15
10759.0,37.2
10772.0,62.05
10785.0,35.9
10799.0,8.21
10813.0,36.3
10826.0,78.21
10840.0,62.23
10853.0,16.85
10866.0,3.55
10880.0,12.81
10893.0,30.01
10906.0,53.66
10919.0,45.29
10933.0,20.39
10946.0,58.32
10959.0,126.42
10973.0,114.11
10986.0,32.89
10999.0,-10.82
11013.0,32.46
11026.0,110.07
11039.0,138.09
11053.0,112.39
11066.0,97.97
11079.0,130.51
11092.0,137.04
11106.0,-41.38
11119.0,-354.83
11132.0,-487.09
11146.0,-364.22
11159.0,-248.27
11172.0,-247.07
11186.0,-241.0
11199.0,-185.89
11212.0,-140.32
11226.0,-120.52
11239.0,-98.02
11252.0,-67.16
11266.0,-41.05
11279.0,-20.97
11292.0,-1.06
11305.0,18.54
11319.0,35.59
11332.0,50.84
11345.0,103.02
11359.0,276.2
11372.0,548.27
11385.0,739.05
11399.0,750.31
11412.0,685.49
11425.0,635.0
11439.0,554.15
11452.0,433.34
11466.0,348.55
11480.0,301.18
11493.0,209.8
11506.0,80.33
11520.0,45.81
11533.0,114.12
11546.0,106.99
11559.0,6.99
11573.0,-39.14
11586.0,-43.88
11599.0,-85.52
11613.0,-97.2
11626.0,-53.77
11639.0,-71.96
11653.0,-148.81
11666.0,-158.04
11679.0,-119.36
11693.0,-140.61
11706.0,-188.89
11719.0,-179.83
11732.0,-181.23
11746.0,-282.7
11759.0,-386.2
11772.0,-353.87
11786.0,-253.73
11799.0,-216.03
11812.0,-194.63
11826.0,-122.34
11839.0,-60.05
11852.0,-76.91
11866.0,-172.92
11879.0,-287.98
11892.0,-345.33
11906.0,-314.73
11919.0,-225.57
11932.0,-145.3
11945.0,-130.88
11959.0,-167.74
11972.0,-200.65
11985.0,-208.16
11999.0,-176.52
12012.0,-109.96
12025.0,-76.67
12039.0,-106.87
12052.0,-125.14
12065.0,-83.69
12079.0,-54.56
12092.0,-83.95
12105.0,-103.91
12120.0,-67.82
12133.0,-21.23
12146.0,-61.9
12160.0,-192.53
12173.0,-228.0
12186.0,-103.37
12199.0,2.06
12213.0,16.07
12226.0,10.74
12239.0,-7.12
12253.0,-24.37
12266.0,22.02
12279.0,99.13
12293.0,116.24
12306.0,96.69
12319.0,109.25
12333.0,125.73
12346.0,104.9
12359.0,82.02
12372.0,85.46
12386.0,92.51
12399.0,87.62
12412.0,64.16
12426.0,19.69
12439.0,-13.42
12452.0,-1.74
12466.0,38.33
12479.0,51.48
12492.0,34.67
12506.0,45.5
12519.0,65.49
12532.0,32.99
12546.0,-16.69
12559.0,-20.6
12572.0,6.15
12585.0,33.57
12599.0,67.33
12612.0,82.98
12625.0,69.87
12639.0,96.42
12652.0,157.17
12665.0,152.26
12679.0,90.23
12692.0,52.14
12705.0,50.05
12719.0,64.42
12732.0,93.04
12745.0,136.59
12759.0,146.19
12773.0,89.68
12786.0,58.37
12800.0,97.92
12813.0,108.56
12826.0,55.77
12839.0,32.06
12853.0,68.69
12866.0,72.41
12879.0,3.93
12893.0,-48.93
12906.0,-40.46
12919.0,-7.55
12933.0,41.04
12946.0,98.73
12959.0,100.99
12973.0,19.37
12986.0,-51.6
12999.0,-33.48
13012.0,3.32
13026.0,-13.29
13039.0,-62.58
13052.0,-110.44
13066.0,-137.46
13079.0,-207.25
13092.0,-353.19
13106.0,-408.48
13119.0,-307.18
13132.0,-218.25
13146.0,-208.61
13159.0,-192.34
13172.0,-144.07
13186.0,-101.69
13199.0,-45.79
13212.0,103.76
13225.0,349.88
13239.0,528.72
13252.0,521.49
13265.0,480.27
13279.0,547.34
13292.0,595.06
13305.0,544.15
13319.0,467.95
13332.0,324.81
13345.0,127.68
13359.0,60.16
13372.0,102.8
13385.0,80.04
13399.0,11.74
13413.0,-10.83
13426.0,-5.55
13440.0,-8.83
13453.0,-30.52
13466.0,-67.04
13479.0,-110.39
13493.0,-145.01
13506.0,-136.66
13519.0,-90.03
13533.0,-65.24
13546.0,-85.98
13559.0,-117.86
13573.0,-140.29
13586.0,-141.91
13599.0,-107.31
13613.0,-59.65
13626.0,-38.6
13639.0,-54.73
13652.0,-75.56
13666.0,-71.84
13679.0,-80.88
13692.0,-129.32
13706.0,-154.39
13719.0,-121.82
13732.0,-99.72
13746.0,-113.59
13759.0,-101.47
13772.0,-75.23
13786.0,-102.93
13799.0,-134.45
13812.0,-106.83
13826.0,-85.87
13839.0,-96.4
13852.0,-77.76
13865.0,-51.23
13879.0,-70.62
13892.0,-101.27
13905.0,-87.98
13919.0,-64.47
13932.0,-126.71
13945.0,-218.4
13959.0,-158.71
13972.0,-1.93
13985.0,40.88
13999.0,-26.33
14012.0,-57.19
14025.0,-33.38
14039.0,-36.29
14052.0,-56.49
14066.0,-44.2
14080.0,-52.7
14093.0,-84.04
14106.0,-38.27
14119.0,43.54
14133.0,67.3
14146.0,84.96
14159.0,111.92
14173.0,89.68
14186.0,34.03
14199.0,-27.97
14213.0,-80.09
14226.0,-87.32
14239.0,-56.01
14253.0,-11.16
14266.0,36.65
14279.0,65.8
14292.0,84.26
14306.0,110.81
14319.0,88.89
14332.0,4.86
14346.0,-32.73
14359.0,18.74
14372.0,73.57
14386.0,50.83
14399.0,-16.2
14412.0,-17.05
14426.0,43.33
14439.0,49.3
14452.0,-1.26
14466.0,-18.86
14479.0,3.08
14492.0,22.97
14505.0,37.65
14519.0,72.72
14532.0,113.89
14545.0,90.7
14559.0,14.63
14572.0,-23.05
14585.0,-19.5
14599.0,-29.73
14612.0,-53.8
14625.0,-50.78
14639.0,-14.89
14652.0,-1.1
14665.0,-14.21
14679.0,1.02
14692.0,28.78
14705.0,23.45
14720.0,-22.48
14733.0,-109.11
14746.0,-239.49
14759.0,-374.93
14773.0,-410.27
14786.0,-325.53
14799.0,-241.7
14813.0,-214.96
14826.0,-189.94
14839.0,-142.36
14853.0,-99.82
14866.0,-71.05
14879.0,-19.69
14893.0,120.48
14906.0,345.88
14919.0,510.93
14932.0,504.63
14946.0,433.23
14959.0,453.19
14972.0,524.89
14986.0,537.0
14999.0,518.38
15012.0,516.79
15026.0,478.19
15039.0,369.53
15052.0,254.71
15066.0,196.4
15079.0,186.2
15092.0,178.52
15106.0,118.27
15119.0,25.58
15132.0,2.98
15145.0,29.83
15159.0,-10.6
15172.0,-87.72
15185.0,-91.78
15199.0,-32.71
15212.0,-12.66
15225.0,-79.72
15239.0,-164.22
15252.0,-200.31
15265.0,-216.53
15279.0,-233.15
15292.0,-220.17
15305.0,-174.23
15319.0,-136.3
15332.0,-126.49
15345.0,-118.75
15358.0,-122.58
15373.0,-176.26
15386.0,-211.62
15399.0,-135.11
15413.0,-45.9
15426.0,-71.94
15439.0,-126.62
15453.0,-119.15
15466.0,-106.08
15479.0,-114.06
15493.0,-116.7
15506.0,-119.64
15519.0,-135.13
15533.0,-164.66
15546.0,-217.03
15559.0,-283.01
15572.0,-283.31
15586.0,-168.95
15599.0,-47.36
15612.0,-36.93
15626.0,-104.31
15639.0,-128.53
15652.0,-54.17
15666.0,35.08
15679.0,66.34
15692.0,76.33
15706.0,82.02
15719.0,69.07
15732.0,44.71
15746.0,20.14
15759.0,35.06
15772.0,80.85
15785.0,88.95
15799.0,78.62
15812.0,107.75
15825.0,127.22
15839.0,61.97
15852.0,-3.57
15865.0,54.71
15879.0,148.08
15892.0,154.07
15905.0,131.86
15919.0,141.12
15932.0,135.03
15945.0,99.41
15959.0,95.6
15972.0,120.85
15985.0,86.85
15998.0,5.67
16013.0,-18.24
16026.0,10.94
16039.0,13.97
16053.0,5.89
16066.0,21.24
16079.0,-14.69
16093.0,-99.65
16106.0,-111.4
16119.0,-70.4
16133.0,-80.78
16146.0,-121.11
16159.0,-114.76
16173.0,-65.03
16186.0,-41.7
16199.0,-46.63
16212.0,-4.74
16226.0,64.31
16239.0,54.38
16252.0,-13.77
16266.0,-25.91
16279.0,-20.0
16292.0,-97.11
16306.0,-173.22
16319.0,-130.76
16332.0,-24.56
16346.0,55.93
16359.0,95.32
16372.0,88.34
16386.0,40.95
16399.0,4.12
16412.0,18.05
16425.0,55.61
16439.0,64.51
16452.0,35.75
16465.0,10.18
16479.0,12.63
16492.0,3.86
16505.0,-27.97
16519.0,-34.14
16532.0,-20.97
16545.0,-19.99
16559.0,9.38
16572.0,87.4
16585.0,124.71
16599.0,48.66
16612.0,-54.58
16625.0,-53.12
